,End of Period,AAPL,ABBV,ADBE,AMZN,BKNG,BUD,BX,C,CHH,CICHY,CS,CSCO,CVS,DAL,DAR,EXPE,FDP,H,HLT,HPQ,IHG,INTU,ISRG,JNJ,LLY,MAR,MET,MKC,MKL,MRK,NVDA,NWL,ORCL,PFE,PRU,PVH,SFM,TCOM,TMO,TMUS,TRIP,TXN,UL,UNH,V,VRTX,WFC,Date,risk
0,2015-03-31,3.46970399508007e-11,-1.4688871204129646e-12,2.6683755990783615e-12,0.29668052158383934,2.44184027626661e-12,8.874211331127534e-12,6.55153832208687e-11,-5.257775238087402e-13,5.125159061427279e-11,1.6714901615680523e-12,6.216964207312061e-12,1.6714469975244124e-12,9.807597122073142e-12,-1.1973485143145815e-12,-3.2679063872897223e-12,8.924709089295377e-12,3.886328055384073e-11,1.51717069974367e-12,3.2847915101556525e-11,-3.2609368581157402e-12,8.401019296786355e-13,5.9160754726569586e-12,4.3848245731759844e-14,3.148889953282248e-13,3.768740270613863e-12,3.869072734150333e-12,-7.319095250487785e-13,4.167803963265114e-12,1.8306567432055464e-11,2.3874843502618587e-12,4.0034146804393395e-12,3.7174755929012575e-12,6.980109281036994e-13,1.9215292571981166e-11,-1.7384882156814315e-12,-2.5469040720005226e-12,3.4944968946912275e-12,0.7033194776804285,4.302072141389047e-12,5.4475064641832633e-11,1.0523983471253503e-11,7.183119649233168e-12,4.620612220506393e-12,3.2947510890694644e-10,7.803598211877485e-13,-2.0100421168768056e-15,1.3918732032933918e-12,,1.0
1,2015-06-30,5.357996879814163e-12,6.092844708467134e-11,2.6805424088205013e-11,5.693547199697422e-11,2.297992078003127e-12,4.883130151858367e-12,2.0183878875442822e-11,1.9161292306370003e-11,-9.821574875445674e-12,6.231490610357054e-11,1.4014548671785093e-11,3.453867619984777e-12,7.032224558493788e-12,-5.647449030942923e-12,1.2502297502490934e-11,7.034502379444834e-11,3.203898054338121e-12,-1.707886103211919e-12,-4.37223643693964e-12,-6.112558545210419e-13,1.2022735807159575e-11,1.0853735702458825e-11,-1.3055562802010409e-12,6.493308865066876e-13,6.049050983560411e-11,-4.52544111645331e-12,3.596683429567131e-11,1.4889972596720468e-11,1.1479396794577861e-11,3.604101211279579e-12,-5.361805929407903e-13,1.4753021390744615e-11,-3.5870196036881136e-12,2.2948614753253984e-13,2.7089738174209046e-11,2.2679455468906357e-11,-1.3703940113500665e-11,0.27636780457413,-4.138879859246122e-13,0.7236321948318714,1.1756516282699982e-11,-6.343067312001018e-12,1.0176120502904214e-11,9.839638200337942e-12,8.130574194405699e-12,1.1291189499203385e-11,1.125895615784115e-11,,1.0
2,2015-09-30,2.7627591287122332e-12,-2.7403367709671267e-12,3.0413504910355964e-11,0.04424546160993937,7.413544099640874e-11,4.022329712597047e-12,-5.264360269603438e-12,5.0508771083732395e-12,3.97974361591333e-12,-8.072531632858702e-12,2.683187717796525e-12,1.59355717827698e-11,1.0124107252137435e-11,9.182157036397728e-11,-5.5500152080290725e-12,6.368548391111162e-11,3.857695276484128e-11,-1.2321482331715534e-12,-1.1850308621334695e-12,1.421357041301723e-12,1.5463042853664185e-12,2.3843601532739783e-12,1.5080147603944394e-11,1.8128437683115136e-11,2.952450178874793e-11,7.978341576781259e-12,-4.1926748891272033e-13,3.565583840037315e-11,3.091661631295531e-11,2.5738279107538813e-12,0.9557545377494979,1.7405308089869432e-11,5.553554480234871e-12,1.2408660831907445e-11,2.022401711709119e-12,4.344948806080437e-12,-2.8801619725576717e-12,2.25107414788901e-12,1.2447522662942444e-11,3.8735066249527745e-11,-8.172047841159653e-12,1.4976156292798382e-11,1.598311464142313e-11,1.4501441808499874e-11,4.078105282140929e-11,-1.6153999277221128e-12,7.901060393237357e-12,,1.0
3,2015-12-31,-6.882940365942251e-14,3.73667078788081e-13,8.180503011741988e-13,9.380585506438311e-11,8.817463116899468e-14,1.633218902465645e-12,-1.3409851894162073e-13,1.7373483784643565e-13,2.573668941529396e-13,1.0881239925721093e-13,-1.6480392654221826e-13,1.792168180435547e-13,1.321816168673859e-13,6.502051168011484e-13,-1.4430920346155928e-13,1.9583449587623523e-13,3.879368082216979e-15,2.646534725231348e-14,-1.413512903808482e-13,1.092827950540516e-13,5.644468929330532e-13,4.1369041459685344e-13,1.641274051472245e-12,5.824573114493786e-13,6.902183153117e-14,-2.6772525302669346e-14,1.3245116997471516e-13,2.343216846047871e-13,5.225157268052861e-13,3.5155095898541757e-13,0.22065204409184586,5.74876084292134e-13,5.926700603756554e-14,1.825301185096815e-13,3.1370487638259625e-13,-4.1721305497468217e-13,2.5965110872714288e-11,0.5843786377752329,1.073679915847821e-12,-2.4818651138349424e-14,0.19496931799880196,5.013318596975789e-13,3.0383653591827105e-13,1.5680415123431672e-13,5.811901354070016e-13,2.156972003726102e-12,2.9495059826244797e-13,,1.0
4,2016-03-31,6.0539758782099774e-12,2.1475658025579364e-12,2.5684835193523496e-12,-7.106762411231246e-13,3.9151014578067284e-12,3.555173770669399e-12,1.65352694198696e-12,-2.825968668286294e-12,8.482946853716754e-12,7.656136835399848e-13,-4.883430897670044e-12,7.435872812916874e-12,8.034077504395116e-12,1.7547190558924397e-12,7.904974971227216e-11,-1.0443378477424461e-12,1.1128935906259167e-11,5.529212843736339e-12,5.87324721845173e-12,6.2497688028042296e-12,8.216083810281309e-12,9.043053645637209e-12,1.2050866350006935e-11,8.171256553660747e-12,-1.2329518368861526e-12,7.54874116146584e-12,-2.1692267332480977e-13,2.6973195795256066e-11,4.0774560194387e-12,4.228757096162025e-12,8.43390171237948e-12,3.3315856309258333e-12,1.5317661645540438e-11,5.984047150937511e-13,-8.477237404408309e-13,0.9999999997125737,9.452819387175572e-12,1.3667974343362407e-12,3.507769467010752e-12,1.9533939794920523e-12,-3.0788627853570837e-12,7.4045440122141e-12,7.361156585706362e-12,1.252874758268028e-11,2.1977777290638873e-12,-5.037577239236181e-12,-5.446434766450478e-13,,1.0
5,2016-06-30,-2.8602396512770305e-12,1.1810734660184522e-11,3.743930658607727e-12,1.0534772738915263e-10,8.597068191813565e-13,8.177588841401954e-12,-2.8455062527624802e-12,3.2683582905991814e-12,-2.8206028616218354e-12,1.543290092939689e-11,-6.046060114162694e-12,3.171327637336445e-12,-1.2893399099968038e-12,-7.1234188420937985e-12,1.748236315376309e-11,1.92019217489392e-12,0.5571611091726126,1.281050436605234e-12,2.4161039584119155e-12,3.878661113559195e-12,-2.29391104999742e-12,8.105864084451402e-12,1.3856565871166325e-11,1.8656195794298333e-11,1.273050656947976e-11,-8.163102803817315e-13,-2.0791950761597725e-12,8.044615917303232e-12,6.826339368341711e-12,1.1479776690438898e-11,0.4428388904552921,1.2180109430744888e-11,2.8106746202666706e-12,6.430619724112182e-11,1.9495680418067023e-12,-4.956671422515749e-13,-5.689820060873145e-12,-1.0995504790987556e-12,5.319214494894414e-12,1.8229569483134535e-11,5.664702203618927e-13,1.056130463428544e-11,7.247687796047884e-12,1.2719661781534554e-11,1.0154727375097554e-12,1.0223984125278204e-11,1.8024740154759648e-12,,1.0
6,2016-09-30,1.7380080594961656e-11,1.3313161707768539e-12,9.029152604031359e-12,1.3573874240677142e-11,1.468123567907971e-11,-5.713726703050488e-13,2.908004953184987e-12,8.005127450342248e-12,-3.015523453665869e-12,1.0025899346482619e-11,2.517947645849983e-11,7.862534732198847e-12,-3.759442093101257e-12,4.578321026330856e-12,-5.340263496887202e-12,6.132943251344445e-12,7.137879088670606e-12,-6.067650833922067e-13,6.996064737954334e-13,2.6790636595062544e-11,7.82920988059749e-12,-1.1690266915463012e-12,6.113800859583778e-12,-1.3938062551476424e-12,1.2705297017769486e-12,4.712339905321184e-13,9.448382369163972e-12,-3.5462512048647514e-12,-1.8047761084283029e-12,5.73780478038749e-12,0.9999999997858239,5.136392094899827e-12,-2.5063636424737243e-12,-2.1215666909409477e-12,1.2680612366092257e-11,1.3187078946608969e-11,-5.401525581496761e-12,8.673739622838773e-12,4.299101344988392e-12,4.627144478831252e-12,-1.3989700046831853e-12,8.327975350808808e-12,-5.300948784861819e-13,-4.957589445317133e-13,8.119311186796789e-12,3.4747831217744236e-14,-3.4976739821742653e-12,,1.0
7,2016-12-30,3.8247590105812946e-12,3.1957464610830052e-12,-1.9331872493387117e-14,-1.965244358247435e-12,2.212917729611029e-12,-3.6125923195544057e-12,9.177376814884956e-12,3.36401448710436e-10,1.0266295382279459e-10,3.956739036905693e-12,9.146291001645736e-12,4.675255549206811e-13,-1.2131056774472106e-12,8.668099551745893e-11,1.173427715236221e-13,1.5283997677842583e-12,2.6726486981973634e-12,1.2719060374851421e-11,2.6642565097325747e-11,4.1163796518253035e-13,7.722231222340601e-12,4.485496380200882e-12,-1.956317857862606e-12,2.272047546609207e-12,-6.047731496380916e-13,7.244729729765333e-11,6.929665272375677e-11,6.36249569870597e-14,1.38347542991887e-12,9.079487673392876e-13,0.9056641684433264,-2.855591678847957e-12,1.6352610970330472e-12,1.959242145292508e-12,0.09433583056237675,-3.686995753119546e-12,-1.1172177867816523e-12,-2.7681425260201784e-12,-1.6188634211411225e-12,4.467147038903648e-11,-5.238364851823421e-12,4.466529398531376e-12,-2.343278021045704e-12,1.9814422026824705e-11,-2.6862120744749955e-13,-2.707084070694556e-12,1.932814592835562e-10,,1.0
8,2017-03-31,5.154843481401516e-12,1.4466618683910543e-13,6.565324105607803e-12,2.1822382922362456e-12,3.455315181141613e-12,6.716978185863161e-14,9.984664433385342e-13,-2.334483345519083e-13,1.0722695903653684e-12,3.1282222618429857e-13,2.8336661890180348e-14,1.2660598243653722e-12,-2.7182484055252366e-13,-7.522514990020582e-13,1.110484910959884e-12,9.652657692801912e-13,-4.990471186677538e-13,-5.12360481725263e-13,1.5875068139272641e-13,3.643446408810027e-12,8.259809496171634e-13,-1.8489089506930266e-13,3.167491804561116e-12,6.176141809750138e-13,1.5912560336404542e-12,1.4989856435773204e-12,-3.9373330865782403e-13,1.24776792038071e-13,4.850475079972125e-13,5.38547635594199e-13,-1.501669728411526e-13,2.418663496390169e-13,2.0776775310150295e-12,2.6128778513234375e-13,-1.9447704621370764e-14,1.581291837550912e-12,3.624692995455902e-12,4.233892067132108e-12,5.703229816815816e-13,1.0422658074879064e-12,-8.60199258662345e-13,9.582737607154898e-13,3.6212942890875578e-12,-2.9086445191755856e-14,1.4573297483509925e-12,0.9999999999483671,-1.6699655721660215e-13,,1.0
9,2017-06-30,1.1808387639877433e-13,8.584994634385676e-12,3.52454935678885e-12,4.114904956004112e-12,2.116084502260944e-12,9.630701110282645e-13,1.4654734877170027e-11,7.145806594720537e-12,9.37437961757467e-13,4.4621183158398177e-13,2.6086996947071397e-12,-1.3015183582156996e-12,1.010979746734525e-12,2.550448879498462e-11,3.6398882683056685e-12,2.4438953684496556e-11,-2.3588787884895227e-12,1.3744865267406771e-12,2.2481629892301287e-12,-4.1776982496288915e-13,5.095771196169299e-12,1.1937225575055841e-11,0.30861780482503104,3.010542369107551e-12,-1.569388169020969e-13,2.4292769348696046e-12,1.7123709120168627e-12,2.768474045364137e-13,2.2997050224630893e-13,6.254146118614807e-13,0.6913821949647528,1.3234661651906063e-11,9.184646873175316e-12,1.3332914261593456e-14,6.214302489974448e-13,6.361058191056977e-12,-4.744826462098179e-13,3.843043128462816e-12,1.153894551483321e-11,-1.3851593764716742e-12,-2.069651431889615e-12,-1.0844598166834103e-12,5.8207829028236515e-12,1.1210596098007055e-11,2.078191951468267e-12,2.6660295733056552e-11,1.328870326974893e-13,,1.0
